Q 93200442,OSD: BOBJ WE,OSD: BOBJ WEBINTELLIGENCE,OSD: BOBJ WEOSD: BOBJ WEBINTELLIGENCE
Q 93200443,OSD: BOBJ CR,OSD: BOBJ CRYSTAL REPORTS,OSD: BOBJ CROSD: BOBJ CRYSTAL REPORTS
Q 93200445,OSD: BOBJ EX,OSD: BOBJ EXPLORER,OSD: BOBJ EXOSD: BOBJ EXPLORER
QK93100036,OSD: NETWEAV,OSD: NETWEAVER,OSD: NETWEAVOSD: NETWEAVER
QK93100037,OSD: ENTERPR,OSD: ENTERPRISE PORTAL (EP),OSD: ENTERPROSD: ENTERPRISE PORTAL (EP)
QK93100038,OSD: PROCESS,OSD: PROCESS INTEGRATION (PI),OSD: PROCESSOSD: PROCESS INTEGRATION (PI)
QK93100039,OSD: COMPOSI,OSD: COMPOSITION ENVIRONMENT (CE),OSD: COMPOSIOSD: COMPOSITION ENVIRONMENT (CE)
Q 93200448,OSD: MASTER,OSD: MASTER DATA MANAGEMENT,OSD: MASTER OSD: MASTER DATA MANAGEMENT
Q 93200456,OSD: CE BUSI,OSD: CE BUSINESS PROCESS MGMT. (BPM),OSD: CE BUSIOSD: CE BUSINESS PROCESS MGMT. (BPM)
Q 93200457,OSD: CE BUSI,OSD: CE BUSINESS RULES MGMT. (BRM),OSD: CE BUSIOSD: CE BUSINESS RULES MGMT. (BRM)
Q 93200458,OSD: PI PROC,OSD: PI PROCESS INTEGRATION (PI),OSD: PI PROCOSD: PI PROCESS INTEGRATION (PI)
Q 93200459,OSD: PI WORK,OSD: PI WORKFLOW CLASSIC,OSD: PI WORKOSD: PI WORKFLOW CLASSIC
Q 93200460,OSD: PI INTE,OSD: PI INTERFACES CLASSIC (ALE / IDOC),OSD: PI INTEOSD: PI INTERFACES CLASSIC (ALE / IDOC)
Q 93200461,OSD: EP ENTE,OSD: EP ENTERPRISE PORTAL (EP),OSD: EP ENTEOSD: EP ENTERPRISE PORTAL (EP)
Q 93200462,OSD: EP KNOW,OSD: EP KNOWLEDGE MGMT & COLLABOR. (KMC),OSD: EP KNOWOSD: EP KNOWLEDGE MGMT & COLLABOR. (KMC)
Q 93200464,OSD: EP TREX,OSD: EP TREX,OSD: EP TREXOSD: EP TREX
Q 93200465,OSD: EP JAVA,OSD: EP JAVA,OSD: EP JAVAOSD: EP JAVA
QK93100041,OSD: INDUSTR,OSD: INDUSTRY SOLUTIONS,OSD: INDUSTROSD: INDUSTRY SOLUTIONS
Q 93200466,OSD: IS AERO,OSD: IS AEROSPACE AND DEFENSE,OSD: IS AEROOSD: IS AEROSPACE AND DEFENSE
Q 93200467,OSD: IS APPA,OSD: IS APPAREL AND FOOTWEAR SOLUTIONS,OSD: IS APPAOSD: IS APPAREL AND FOOTWEAR SOLUTIONS
QK93100042,OSD: IS BANK,OSD: IS BANKING,OSD: IS BANKOSD: IS BANKING
Q 93200472,OSD: IS FOOD,OSD: IS FOOD AND BEVERAGE DISTRIBUTION,OSD: IS FOODOSD: IS FOOD AND BEVERAGE DISTRIBUTION
Q 93200473,OSD: IS HEAL,OSD: IS HEALTHCARE IS-H,OSD: IS HEALOSD: IS HEALTHCARE IS-H
Q 93200474,OSD: IS HEAL,OSD: IS HEALTHCARE IS-H MED,OSD: IS HEALOSD: IS HEALTHCARE IS-H MED
Q 93200475,OSD: IS HIGH,OSD: IS HIGH TECH,OSD: IS HIGHOSD: IS HIGH TECH
Q 93200476,OSD: IS INSU,OSD: IS INSURANCE,OSD: IS INSUOSD: IS INSURANCE
Q 93200477,OSD: IS LIFE,OSD: IS LIFE SIENCE,OSD: IS LIFEOSD: IS LIFE SIENCE
Q 93200478,OSD: IS MEDI,OSD: IS MEDIA,OSD: IS MEDIOSD: IS MEDIA
Q 93200479,OSD: IS MILL,OSD: IS MILL PRODUCTS,OSD: IS MILLOSD: IS MILL PRODUCTS
Q 93200480,OSD: IS MINI,OSD: IS MINING,OSD: IS MINIOSD: IS MINING
Q 93200481,OSD: IS OIL,OSD: IS OIL & GAS,OSD: IS OIL OSD: IS OIL & GAS
Q 93200482,OSD: IS PUBL,OSD: IS PUBLIC SECTOR,OSD: IS PUBLOSD: IS PUBLIC SECTOR
Q 93200483,OSD: IS TELE,OSD: IS TELECOMMUNICATIONS,OSD: IS TELEOSD: IS TELECOMMUNICATIONS
Q 93200484,OSD: IS TRAN,OSD: IS TRANSPORTATION & LOGISTICS,OSD: IS TRANOSD: IS TRANSPORTATION & LOGISTICS
Q 93200485,OSD: IS UTIL,OSD: IS UTILITIES,OSD: IS UTILOSD: IS UTILITIES
Q 93200486,OSD: IS WHOL,OSD: IS WHOLESALE DISTRIBUTION,OSD: IS WHOLOSD: IS WHOLESALE DISTRIBUTION
QK93100043,OSD: IS RETA,OSD: IS RETAIL,OSD: IS RETAOSD: IS RETAIL
Q 93200487,OSD: RETAIL,OSD: RETAIL GENERAL,OSD: RETAIL OSD: RETAIL GENERAL
Q 93200488,OSD: RETAIL;,OSD: RETAIL; POINT OF SALE,OSD: RETAIL;OSD: RETAIL; POINT OF SALE
QK93100044,OSD: XAPPS,OSD: XAPPS,OSD: XAPPS  OSD: XAPPS
QK93100045,OSD: OTHERS,OSD: OTHERS,OSD: OTHERS OSD: OTHERS
Q 93200498,OSD: OTHERS,OSD: OTHERS,OSD: OTHERS OSD: OTHERS
Q 93200499,OSD: TQMS,OSD: TQMS,OSD: TQMS   OSD: TQMS
Q 93200500,OSD: DEAS,OSD: DEAS,OSD: DEAS   OSD: DEAS
Q 93200501,OSD: ESCALAT,OSD: ESCALATION MANAGERS,OSD: ESCALATOSD: ESCALATION MANAGERS
Q 93200502,OSD: SOLUTIO,OSD: SOLUTION ARCHITECTS,OSD: SOLUTIOOSD: SOLUTION ARCHITECTS
QK93100046,OSD: RESOURC,OSD: RESOURCES ON THESE SERVICES,OSD: RESOURCOSD: RESOURCES ON THESE SERVICES
Q 93200505,OSD: CCOE,OSD: CCOE,OSD: CCOE   OSD: CCOE
Q 93200507,OSD: E2E CLA,OSD: E2E CLASSES,OSD: E2E CLAOSD: E2E CLASSES
Q 93200508,OSD: DVM,OSD: DVM,OSD: DVM    OSD: DVM
Q 93200509,OSD: OPW LEA,OSD: OPW LEADS,OSD: OPW LEAOSD: OPW LEADS
Q 93200510,OSD: SOS,OSD: SOS,OSD: SOS    OSD: SOS
Q 93200512,OSD: SWCM,OSD: SWCM,OSD: SWCM   OSD: SWCM
QK93100047,OSD: APPLICA,OSD: APPLICATION,OSD: APPLICAOSD: APPLICATION
QK93100048,OSD: TECHNOL,OSD: TECHNOLOGY,OSD: TECHNOLOSD: TECHNOLOGY
Q 93200513,OSD: CRM TEC,OSD: CRM TECH GENERAL,OSD: CRM TECOSD: CRM TECH GENERAL
Q 93200514,OSD: CRM TRE,OSD: CRM TREX,OSD: CRM TREOSD: CRM TREX
QK93100049,OSD: CRM,OSD: CRM,OSD: CRM    OSD: CRM
